solarSystemName,solarSystemID,regionID,constellationID,wormholeClass,systemEffect,hour,minute,second,RAText,RADec,isAnom,status,href,notes
J004150,31002549,11000016,21000328,C4,Wolf-Rayet Star,0,41,50,00h 41m 50s,10.458333333333334,,,,
J004317,31002513,11000001,21000325,C1,,0,43,17,00h 43m 17s,10.820833333333333,,,,
J004283,31002537,11000009,21000327,C3,,0,43,23,00h 43m 23s,10.845833333333333,YES,,,
J004470,31002539,11000016,21000328,C4,Black Hole,0,45,10,00h 45m 10s,11.291666666666666,YES,,,
J004686,31002526,11000004,21000326,C2,,0,47,26,00h 47m 26s,11.858333333333333,YES,,,
J004791,31002512,11000001,21000325,C1,,0,48,31,00h 48m 31s,12.129166666666666,YES,,,
J004921,31002574,11000024,21000329,C5,,0,49,21,00h 49m 21s,12.3375,,,,
J004998,31002561,11000024,21000329,C5,Magnetar,0,50,38,00h 50m 38s,12.658333333333333,YES,,,
J005070,31002571,11000024,21000329,C5,,0,51,10,00h 51m 10s,12.791666666666666,YES,,,
J005223,31002567,11000024,21000329,C5,Wolf-Rayet Star,0,52,23,00h 52m 23s,13.095833333333333,,,,
J005259,31002546,11000016,21000328,C4,Red Giant,0,52,59,00h 52m 59s,13.245833333333334,,,,
J005280,31002555,11000016,21000328,C4,,0,53,20,00h 53m 20s,13.333333333333334,YES,,,
J005299,31002552,11000016,21000328,C4,,0,53,39,00h 53m 39s,13.4125,YES,,,
J005482,31002515,11000004,21000326,C2,Black Hole,0,55,22,00h 55m 22s,13.841666666666667,YES,,,
J005663,31002568,11000024,21000329,C5,,0,57,3,00h 57m 03s,14.2625,YES,,,
J005724,31002573,11000024,21000329,C5,,0,57,24,00h 57m 24s,14.35,,,,
J005834,31002506,11000001,21000325,C1,Cataclysmic Variable,0,58,34,00h 58m 34s,14.641666666666667,,,,
J005900,31002516,11000004,21000326,C2,Cataclysmic Variable,0,59,0,00h 59m 00s,14.75,,,,
J005872,31002550,11000016,21000328,C4,,0,59,12,00h 59m 12s,14.8,YES,,,
J005923,31002534,11000009,21000327,C3,,0,59,23,00h 59m 23s,14.845833333333333,,,,
J005926,31002508,11000001,21000325,C1,Pulsar,0,59,26,00h 59m 26s,14.858333333333333,,,,
J010000,31002523,11000004,21000326,C2,,1,0,0,01h 00m 00s,15,,,,
J005969,31002547,11000016,21000328,C4,Red Giant,1,0,9,01h 00m 09s,15.0375,YES,,,
J010247,31002541,11000016,21000328,C4,Cataclysmic Variable,1,2,47,01h 02m 47s,15.695833333333333,,,,
J010366,31002576,11000030,21000330,C6,,1,4,6,01h 04m 06s,16.025,YES,,,
J010556,31002544,11000016,21000328,C4,Pulsar,1,5,56,01h 05m 56s,16.483333333333334,,,,
J010569,31002509,11000001,21000325,C1,Red Giant,1,6,9,01h 06m 09s,16.5375,YES,,,
J010811,31002556,11000024,21000329,C5,Black Hole,1,8,11,01h 08m 11s,17.045833333333334,,,,
J010951,31002579,11000030,21000330,C6,,1,9,51,01h 09m 51s,17.4625,,,,
J011195,31002554,11000016,21000328,C4,,1,12,35,01h 12m 35s,18.145833333333332,YES,,,
J011321,31002519,11000004,21000326,C2,Red Giant,1,13,21,01h 13m 21s,18.3375,,,,
J011339,31002536,11000009,21000327,C3,,1,13,39,01h 13m 39s,18.4125,,,,
J011355,31002553,11000016,21000328,C4,,1,13,55,01h 13m 55s,18.479166666666668,,,,
J011376,31002551,11000016,21000328,C4,,1,14,16,01h 14m 16s,18.566666666666666,YES,,,
J011563,31002527,11000009,21000327,C3,Black Hole,1,16,3,01h 16m 03s,19.0125,YES,,,
J011778,31002545,11000016,21000328,C4,Pulsar,1,18,18,01h 18m 18s,19.575,YES,,,
J011824,31002540,11000016,21000328,C4,Cataclysmic Variable,1,18,24,01h 18m 24s,19.6,,,,
J011790,31002559,11000024,21000329,C5,Cataclysmic Variable,1,18,30,01h 18m 30s,19.625,YES,,,
J012157,31002510,11000001,21000325,C1,,1,21,57,01h 21m 57s,20.4875,,,,
J012402,31002507,11000001,21000325,C1,Magnetar,1,24,2,01h 24m 02s,21.008333333333333,,,,
J012475,31002577,11000030,21000330,C6,,1,25,15,01h 25m 15s,21.3125,YES,,,
J012578,31002565,11000024,21000329,C5,Red Giant,1,26,18,01h 26m 18s,21.575,YES,,,
J012635,31002522,11000004,21000326,C2,,1,26,35,01h 26m 35s,21.645833333333332,,,,
J012686,31002575,11000030,21000330,C6,,1,27,26,01h 27m 26s,21.858333333333334,YES,,,
J012735,31002521,11000004,21000326,C2,,1,27,35,01h 27m 35s,21.895833333333332,,,,
J012773,31002566,11000024,21000329,C5,Wolf-Rayet Star,1,28,13,01h 28m 13s,22.054166666666667,YES,,,
J012794,31002533,11000009,21000327,C3,,1,28,34,01h 28m 34s,22.141666666666666,YES,,,
J013070,31002517,11000004,21000326,C2,Magnetar,1,31,10,01h 31m 10s,22.791666666666668,YES,,,
J013123,31002520,11000004,21000326,C2,,1,31,23,01h 31m 23s,22.845833333333335,,,,
J013146,31002560,11000024,21000329,C5,Magnetar,1,31,46,01h 31m 46s,22.941666666666666,,,,
J014348,31002531,11000009,21000327,C3,Red Giant,1,43,48,01h 43m 48s,25.95,,,,
J015092,31002505,11000001,21000325,C1,Black Hole,1,51,32,01h 51m 32s,27.883333333333333,YES,,,
J015227,31002578,11000030,21000330,C6,,1,52,27,01h 52m 27s,28.1125,,,,
J055520,31000001,11000033,21000334,SENTINEL,Red Giant,5,55,20,05h 55m 20s,88.83333333333333,,FOUND,https://en.wikipedia.org/wiki/Betelgeuse,"Betelgeuse, Orion (Red Supergiant)"
J100001,31001753,11000021,21000211,C4,,10,0,1,10h 00m 01s,150.00416666666666,,,,
J100009,31001040,11000011,21000101,C3,Pulsar,10,0,9,10h 00m 09s,150.0375,,,,
J100015,31001338,11000015,21000147,C3,,10,0,15,10h 00m 15s,150.0625,,,,
J100033,31000542,11000005,21000039,C2,,10,0,33,10h 00m 33s,150.1375,,,,
J100040,31000085,11000001,21000319,C1,Black Hole,10,0,40,10h 00m 40s,150.16666666666666,,,,
J100046,31001383,11000016,21000154,C4,Cataclysmic Variable,10,0,46,10h 00m 46s,150.19166666666666,,,,
J100102,31000805,11000008,21000065,C2,,10,1,2,10h 01m 02s,150.25833333333333,,,,
J100107,31001684,11000021,21000200,C4,,10,1,7,10h 01m 07s,150.27916666666667,,,,
J100109,31002253,11000028,21000282,C5,,10,1,9,10h 01m 09s,150.2875,,,,
J100118,31000995,11000011,21000094,C3,Magnetar,10,1,18,10h 01m 18s,150.325,,,,
J100120,31001907,11000024,21000235,C5,,10,1,20,10h 01m 20s,150.33333333333334,,,,
J100129,31001086,11000012,21000107,C3,,10,1,29,10h 01m 29s,150.37083333333334,,,,
J100142,31001638,11000020,21000193,C4,,10,1,42,10h 01m 42s,150.425,,,,
J100150,31001428,11000016,21000160,C4,Black Hole,10,1,50,10h 01m 50s,150.45833333333334,,,,
J100156,31001169,11000012,21000120,C3,,10,1,56,10h 01m 56s,150.48333333333332,,,,
J100211,31000211,11000002,21000007,C1,,10,2,11,10h 02m 11s,150.54583333333332,,,,
J100237,31002076,11000026,21000258,C5,Wolf-Rayet Star,10,2,37,10h 02m 37s,150.65416666666667,,,,
J100246,31000479,11000005,21000033,C2,,10,2,46,10h 02m 46s,150.69166666666666,,,,
J100250,31000068,11000001,21000317,C1,,10,2,50,10h 02m 50s,150.70833333333334,,,,
J100252,31002132,11000027,21000265,C5,,10,2,52,10h 02m 52s,150.71666666666667,,,,
J100328,31001979,11000025,21000244,C5,Black Hole,10,3,28,10h 03m 28s,150.86666666666667,,,,
J100338,31001334,11000015,21000146,C3,,10,3,38,10h 03m 38s,150.90833333333333,,,,
J100346,31001814,11000022,21000221,C4,,10,3,46,10h 03m 46s,150.94166666666666,,,,
J100357,31001823,11000022,21000222,C4,,10,3,57,10h 03m 57s,150.9875,,,,
J100409,31002432,11000030,21000305,C6,,10,4,9,10h 04m 09s,151.0375,,,,
J100415,31002052,11000025,21000254,C5,,10,4,15,10h 04m 15s,151.0625,,,,
J100422,31000230,11000002,21000009,C1,Red Giant,10,4,22,10h 04m 22s,151.09166666666667,,,,
J100425,31002039,11000025,21000252,C5,,10,4,25,10h 04m 25s,151.10416666666666,,,,
J100447,31000474,11000005,21000032,C2,Black Hole,10,4,47,10h 04m 47s,151.19583333333333,,,,
J100501,31002428,11000030,21000305,C6,,10,5,1,10h 05m 01s,151.25416666666666,,,,
J100509,31000678,11000006,21000052,C2,,10,5,9,10h 05m 09s,151.2875,,,,
J100549,31002016,11000025,21000249,C5,,10,5,49,10h 05m 49s,151.45416666666668,,,,
J100551,31002233,11000028,21000279,C5,,10,5,51,10h 05m 51s,151.4625,,,,
J100616,31002190,11000027,21000273,C5,Pulsar,10,6,16,10h 06m 16s,151.56666666666666,,,,
J100620,31000996,11000011,21000094,C3,,10,6,20,10h 06m 20s,151.58333333333334,,,,
J100640,31000460,11000005,21000031,C2,,10,6,40,10h 06m 40s,151.66666666666666,,,,
J100642,31000852,11000008,21000069,C2,,10,6,42,10h 06m 42s,151.675,,,,
J100651,31000859,11000008,21000070,C2,Red Giant,10,6,51,10h 06m 51s,151.7125,,,,
J100702,31001892,11000024,21000233,C5,Black Hole,10,7,2,10h 07m 02s,151.75833333333333,,,,
J100724,31001896,11000024,21000233,C5,Red Giant,10,7,24,10h 07m 24s,151.85,,,,
J100728,31001044,11000011,21000101,C3,Red Giant,10,7,28,10h 07m 28s,151.86666666666667,,,,
J100744,31000008,11000001,21000311,C1,Cataclysmic Variable,10,7,44,10h 07m 44s,151.93333333333334,,,,
J100759,31002146,11000027,21000268,C5,,10,7,59,10h 07m 59s,151.99583333333334,,,,
J100806,31001436,11000017,21000162,C4,,10,8,6,10h 08m 06s,152.025,,,,
J100808,31000677,11000006,21000052,C2,,10,8,8,10h 08m 08s,152.03333333333333,,,,
J100820,31002479,11000028,21000282,C5,,10,8,20,10h 08m 20s,152.08333333333334,,,,
J100830,31001692,11000021,21000201,C4,,10,8,30,10h 08m 30s,152.125,,,,
J100846,31001794,11000022,21000217,C4,Black Hole,10,8,46,10h 08m 46s,152.19166666666666,,,,
J100854,31002246,11000028,21000281,C5,,10,8,54,10h 08m 54s,152.225,,,,
J100858,31002024,11000025,21000250,C5,,10,8,58,10h 08m 58s,152.24166666666667,,,,
J100919,31002135,11000027,21000266,C5,Wolf-Rayet Star,10,9,19,10h 09m 19s,152.32916666666668,,,,
J100932,31000904,11000009,21000079,C3,,10,9,32,10h 09m 32s,152.38333333333333,,,,
J100937,31001683,11000021,21000200,C4,Cataclysmic Variable,10,9,37,10h 09m 37s,152.40416666666667,,,,
J100956,31001414,11000016,21000158,C4,,10,9,56,10h 09m 56s,152.48333333333332,,,,
J101000,31001977,11000025,21000244,C5,Cataclysmic Variable,10,10,0,10h 10m 00s,152.5,,,,
J101012,31000894,11000009,21000078,C3,Red Giant,10,10,12,10h 10m 12s,152.55,,,,
J101020,31000173,11000002,21000003,C1,,10,10,20,10h 10m 20s,152.58333333333334,,,,
J101028,31002023,11000025,21000250,C5,,10,10,28,10h 10m 28s,152.61666666666667,,,,
J101042,31001655,11000021,21000195,C4,Cataclysmic Variable,10,10,42,10h 10m 42s,152.675,,,,
J101048,31001209,11000013,21000127,C3,,10,10,48,10h 10m 48s,152.7,,,,
J101126,31001496,11000018,21000171,C4,,10,11,26,10h 11m 26s,152.85833333333332,,,,
J101129,31001639,11000020,21000193,C4,,10,11,29,10h 11m 29s,152.87083333333334,,,,
J101142,31001817,11000022,21000221,C4,,10,11,42,10h 11m 42s,152.925,,,,
J101145,31001669,11000021,21000197,C4,Pulsar,10,11,45,10h 11m 45s,152.9375,,,,
J101149,31000533,11000005,21000038,C2,,10,11,49,10h 11m 49s,152.95416666666668,,,,
J101243,31001249,11000014,21000133,C3,,10,12,43,10h 12m 43s,153.17916666666667,,,,
J101248,31002476,11000026,21000259,C5,,10,12,48,10h 12m 48s,153.2,,,,
J101307,31000448,11000004,21000030,C2,,10,13,7,10h 13m 07s,153.27916666666667,,,,
J101315,31001760,11000021,21000212,C4,,10,13,15,10h 13m 15s,153.3125,,,,
J101323,31001279,11000014,21000138,C3,,10,13,23,10h 13m 23s,153.34583333333333,,,,
J101331,31001615,11000020,21000189,C4,,10,13,31,10h 13m 31s,153.37916666666666,,,,
J101336,31000076,11000001,21000318,C1,Cataclysmic Variable,10,13,36,10h 13m 36s,153.4,,,,
J101343,31002167,11000027,21000270,C5,Wolf-Rayet Star,10,13,43,10h 13m 43s,153.42916666666667,,,,
J101346,31000640,11000006,21000048,C2,,10,13,46,10h 13m 46s,153.44166666666666,,,,
J101354,31001168,11000012,21000120,C3,,10,13,54,10h 13m 54s,153.475,,,,
J101408,31000104,11000001,21000320,C1,,10,14,8,10h 14m 08s,153.53333333333333,,,,
J101415,31000663,11000006,21000051,C2,Red Giant,10,14,15,10h 14m 15s,153.5625,,,,
J101435,31002308,11000029,21000289,C5,Cataclysmic Variable,10,14,35,10h 14m 35s,153.64583333333334,,,,
J101441,31000847,11000008,21000069,C2,Red Giant,10,14,41,10h 14m 41s,153.67083333333332,,,,
J101453,31000039,11000001,21000314,C1,,10,14,53,10h 14m 53s,153.72083333333333,,,,
J101500,31001118,11000012,21000112,C3,,10,15,0,10h 15m 00s,153.75,,,,
J101507,31001416,11000016,21000158,C4,Red Giant,10,15,7,10h 15m 07s,153.77916666666667,,,,
J101524,31000358,11000004,21000021,C2,,10,15,24,10h 15m 24s,153.85,,,,
J101535,31001676,11000021,21000198,C4,Pulsar,10,15,35,10h 15m 35s,153.89583333333334,,,,
J101551,31001432,11000016,21000161,C4,,10,15,51,10h 15m 51s,153.9625,,,,
J101553,31002400,11000030,21000301,C6,Pulsar,10,15,53,10h 15m 53s,153.97083333333333,,,,
J101556,31002161,11000027,21000269,C5,,10,15,56,10h 15m 56s,153.98333333333332,,,,
J101604,31001621,11000020,21000190,C4,Pulsar,10,16,4,10h 16m 04s,154.01666666666668,,,,
J101612,31001167,11000012,21000120,C3,,10,16,12,10h 16m 12s,154.05,,,,
J101647,31002361,11000029,21000296,C5,,10,16,47,10h 16m 47s,154.19583333333333,,,,
J101650,31000844,11000008,21000068,C2,Wolf-Rayet Star,10,16,50,10h 16m 50s,154.20833333333334,,,,
J101652,31002438,11000030,21000306,C6,Red Giant,10,16,52,10h 16m 52s,154.21666666666667,,,,
J101706,31001440,11000017,21000162,C4,,10,17,6,10h 17m 06s,154.275,,,,
J101708,31002462,11000030,21000309,C6,,10,17,8,10h 17m 08s,154.28333333333333,,,,
J101710,31000875,11000008,21000071,C2,Black Hole,10,17,10,10h 17m 10s,154.29166666666666,,,,
J101719,31000776,11000008,21000062,C2,,10,17,19,10h 17m 19s,154.32916666666668,,,,
J101729,31000033,11000001,21000313,C1,,10,17,29,10h 17m 29s,154.37083333333334,,,,
J101736,31001103,11000012,21000110,C3,,10,17,36,10h 17m 36s,154.4,,,,
J101748,31002456,11000030,21000308,C6,,10,17,48,10h 17m 48s,154.45,,,,
J101750,31000927,11000009,21000083,C3,,10,17,50,10h 17m 50s,154.45833333333334,,,,
J101755,31002461,11000030,21000309,C6,Black Hole,10,17,55,10h 17m 55s,154.47916666666666,,,,
J101757,31000067,11000001,21000317,C1,Black Hole,10,17,57,10h 17m 57s,154.4875,,,,
J101817,31000203,11000002,21000006,C1,,10,18,17,10h 18m 17s,154.57083333333333,,,,
J101824,31000777,11000008,21000062,C2,,10,18,24,10h 18m 24s,154.6,,,,
J101833,31001311,11000014,21000143,C3,,10,18,33,10h 18m 33s,154.6375,,,,
J101835,31001841,11000022,21000225,C4,Cataclysmic Variable,10,18,35,10h 18m 35s,154.64583333333334,,,,
J101845,31000310,11000003,21000016,C1,,10,18,45,10h 18m 45s,154.6875,,,,
J101854,31001143,11000012,21000116,C3,,10,18,54,10h 18m 54s,154.725,,,,
J101912,31002184,11000027,21000272,C5,Wolf-Rayet Star,10,19,12,10h 19m 12s,154.8,,,,
J101915,31001524,11000019,21000175,C4,Magnetar,10,19,15,10h 19m 15s,154.8125,,,,
J101957,31001859,11000023,21000228,C4,Wolf-Rayet Star,10,19,57,10h 19m 57s,154.9875,,,,
J102005,31000301,11000003,21000015,C1,,10,20,5,10h 20m 05s,155.02083333333334,,,,
J102038,31000831,11000008,21000067,C2,Red Giant,10,20,38,10h 20m 38s,155.15833333333333,,,,
J102045,31001691,11000021,21000201,C4,Pulsar,10,20,45,10h 20m 45s,155.1875,,,,
J102053,31002247,11000028,21000281,C5,Red Giant,10,20,53,10h 20m 53s,155.22083333333333,,,,
J102055,31001741,11000021,21000209,C4,,10,20,55,10h 20m 55s,155.22916666666666,,,,
J102057,31000885,11000009,21000076,C3,Pulsar,10,20,57,10h 20m 57s,155.2375,,,,
J102103,31002343,11000029,21000293,C5,,10,21,3,10h 21m 03s,155.2625,,,,
J102143,31000952,11000010,21000087,C3,Wolf-Rayet Star,10,21,43,10h 21m 43s,155.42916666666667,,,,
J102206,31000107,11000001,21000321,C1,,10,22,6,10h 22m 06s,155.525,,,,
J102209,31000795,11000008,21000064,C2,,10,22,9,10h 22m 09s,155.5375,,,,
J102222,31000621,11000006,21000046,C2,Cataclysmic Variable,10,22,22,10h 22m 22s,155.59166666666667,,,,
J102257,31000915,11000009,21000081,C3,,10,22,57,10h 22m 57s,155.7375,,,,
J102304,31001367,11000015,21000151,C3,,10,23,4,10h 23m 04s,155.76666666666668,,,,
J102336,31001681,11000021,21000199,C4,,10,23,36,10h 23m 36s,155.9,,,,
J102345,31002199,11000028,21000274,C5,Magnetar,10,23,45,10h 23m 45s,155.9375,,,,
J102347,31000514,11000005,21000036,C2,,10,23,47,10h 23m 47s,155.94583333333333,,,,
J102407,31000947,11000010,21000086,C3,,10,24,7,10h 24m 07s,156.02916666666667,,,,
J102409,31001598,11000019,21000186,C4,,10,24,9,10h 24m 09s,156.0375,,,,
J102414,31000259,11000002,21000011,C1,,10,24,14,10h 24m 14s,156.05833333333334,,,,
J102433,31001307,11000014,21000142,C3,,10,24,33,10h 24m 33s,156.1375,,,,
J102439,31001544,11000019,21000178,C4,Magnetar,10,24,39,10h 24m 39s,156.1625,,,,
J102446,31001889,11000024,21000233,C5,Black Hole,10,24,46,10h 24m 46s,156.19166666666666,,,,
J102504,31000668,11000006,21000051,C2,,10,25,4,10h 25m 04s,156.26666666666668,,,,
J102515,31001371,11000015,21000152,C3,,10,25,15,10h 25m 15s,156.3125,,,,
J102521,31001595,11000019,21000186,C4,,10,25,21,10h 25m 21s,156.3375,,,,
J102534,31001422,11000016,21000159,C4,Wolf-Rayet Star,10,25,34,10h 25m 34s,156.39166666666668,,,,
J102602,31000773,11000008,21000062,C2,,10,26,2,10h 26m 02s,156.50833333333333,,,,
J102623,31002060,11000025,21000255,C5,Wolf-Rayet Star,10,26,23,10h 26m 23s,156.59583333333333,,,,
J102630,31000184,11000002,21000004,C1,,10,26,30,10h 26m 30s,156.625,,,,
J102655,31000013,11000001,21000312,C1,,10,26,55,10h 26m 55s,156.72916666666666,,,,
J102734,31000279,11000002,21000013,C1,,10,27,34,10h 27m 34s,156.89166666666668,,,,
J102736,31002009,11000025,21000248,C5,Magnetar,10,27,36,10h 27m 36s,156.9,,,,
J102739,31000753,11000008,21000060,C2,,10,27,39,10h 27m 39s,156.9125,,,,
J102749,31000296,11000003,21000015,C1,,10,27,49,10h 27m 49s,156.95416666666668,,,,
J102753,31002055,11000025,21000255,C5,Black Hole,10,27,53,10h 27m 53s,156.97083333333333,,,,
J102834,31002492,11000030,21000310,C6,Magnetar,10,28,34,10h 28m 34s,157.14166666666668,,,,
J102837,31000267,11000002,21000012,C1,Cataclysmic Variable,10,28,37,10h 28m 37s,157.15416666666667,,,,
J102844,31001586,11000019,21000185,C4,,10,28,44,10h 28m 44s,157.18333333333334,,,,
J102849,31000199,11000002,21000006,C1,,10,28,49,10h 28m 49s,157.20416666666668,,,,
J102853,31002141,11000027,21000267,C5,,10,28,53,10h 28m 53s,157.22083333333333,,,,
J102856,31000910,11000009,21000080,C3,Red Giant,10,28,56,10h 28m 56s,157.23333333333332,,,,
J102918,31000292,11000002,21000014,C1,,10,29,18,10h 29m 18s,157.325,,,,
J102946,31000819,11000008,21000066,C2,Cataclysmic Variable,10,29,46,10h 29m 46s,157.44166666666666,,,,
J103008,31001490,11000018,21000170,C4,Magnetar,10,30,8,10h 30m 08s,157.53333333333333,,,,
J103032,31001201,11000013,21000125,C3,Cataclysmic Variable,10,30,32,10h 30m 32s,157.63333333333333,,,,
J103104,31001592,11000019,21000185,C4,Cataclysmic Variable,10,31,4,10h 31m 04s,157.76666666666668,,,,
J103110,31001439,11000017,21000162,C4,Black Hole,10,31,10,10h 31m 10s,157.79166666666666,,,,
J103116,31002130,11000027,21000265,C5,,10,31,16,10h 31m 16s,157.81666666666666,,,,
J103120,31001803,11000022,21000219,C4,Cataclysmic Variable,10,31,20,10h 31m 20s,157.83333333333334,,,,
J103141,31001666,11000021,21000197,C4,Black Hole,10,31,41,10h 31m 41s,157.92083333333332,,,,
J103144,31000622,11000006,21000046,C2,,10,31,44,10h 31m 44s,157.93333333333334,,,,
J103151,31000093,11000001,21000320,C1,Pulsar,10,31,51,10h 31m 51s,157.9625,,,,
J103213,31001777,11000022,21000215,C4,,10,32,13,10h 32m 13s,158.05416666666667,,,,
J103215,31002347,11000029,21000294,C5,,10,32,15,10h 32m 15s,158.0625,,,,
J103217,31000416,11000004,21000026,C2,Magnetar,10,32,17,10h 32m 17s,158.07083333333333,,,,
J103228,31001716,11000021,21000205,C4,,10,32,28,10h 32m 28s,158.11666666666667,,,,
J103237,31001347,11000015,21000148,C3,,10,32,37,10h 32m 37s,158.15416666666667,,,,
J103242,31001534,11000019,21000177,C4,Cataclysmic Variable,10,32,42,10h 32m 42s,158.175,,,,
J103251,31001886,11000024,21000232,C5,Magnetar,10,32,51,10h 32m 51s,158.2125,,,,
J103320,31000262,11000002,21000012,C1,,10,33,20,10h 33m 20s,158.33333333333334,,,,
J103326,31001092,11000012,21000108,C3,,10,33,26,10h 33m 26s,158.35833333333332,,,,
J103328,31002195,11000028,21000274,C5,Wolf-Rayet Star,10,33,28,10h 33m 28s,158.36666666666667,,,,
J103339,31000390,11000004,21000024,C2,,10,33,39,10h 33m 39s,158.4125,,,,
J103341,31000303,11000003,21000015,C1,,10,33,41,10h 33m 41s,158.42083333333332,,,,
